Anseriformes;Anatidae;2737;Anser albifrons albifrons;;Anser albifrons albifrons (Scopoli, 1769)
Anseriformes;Anatidae;2738;Anser albifrons flavirostris;;Anser albifrons flavirostris Dalgety & Scott, 1948
Anseriformes;Anatidae;2743;Anas anser;Oie cendrée;Anser anser (Linnaeus, 1758)
Anseriformes;Anatidae;2741;Anser anser;Oie cendrée;Anser anser (Linnaeus, 1758)
Anseriformes;Anatidae;433478;Anser domesticus;Oie cendrée;Anser anser (Linnaeus, 1758)
Anseriformes;Anatidae;2744;Anser anser anser;;Anser anser anser (Linnaeus, 1758)
Anseriformes;Anatidae;2745;Anser anser rubrirostris;;Anser anser rubrirostris Swinhoe, 1871
Anseriformes;Anatidae;2725;Anser brachyrhynchus;Oie à bec court;Anser brachyrhynchus (Baillon, 1833)
Anseriformes;Anatidae;2729;Anas caerulescens;Oie des neiges;Anser caerulescens (Linnaeus, 1758)
Anseriformes;Anatidae;2727;Anser caerulescens;Oie des neiges;Anser caerulescens (Linnaeus, 1758)
Anseriformes;Anatidae;2730;Chen caerulescens;Oie des neiges;Anser caerulescens (Linnaeus, 1758)
Anseriformes;Anatidae;2739;Anser erythropus;Oie naine;Anser erythropus (Linnaeus, 1758)
Anseriformes;Anatidae;2720;Anser fabalis;Oie des moissons;Anser fabalis (Latham, 1787)
Anseriformes;Anatidae;2722;Anser fabilis;Oie des moissons;Anser fabalis (Latham, 1787)
Anseriformes;Anatidae;2723;Anser fabalis fabalis;;Anser fabalis fabalis (Latham, 1787)
Anseriformes;Anatidae;2724;Anser fabalis rossicus;;Anser fabalis rossicus Buturlin, 1933
Anseriformes;Anatidae;2731;Anser indicus;Oie à tête barrée;Anser indicus (Latham, 1790)
Anseriformes;Anatidae;2733;Eulabeia indica;Oie à tête barrée;Anser indicus (Latham, 1790)
Anseriformes;Anatidae;199305;Aythya affinis;Fuligule à tête noire, Petit Fuligule;Aythya affinis (Eyton, 1838)
Anseriformes;Anatidae;814136;Fuligula affinis;Fuligule à tête noire, Petit Fuligule;Aythya affinis (Eyton, 1838)
Anseriformes;Anatidae;199304;Aythya americana;Fuligule à tête rouge;Aythya americana (Eyton, 1838)
Anseriformes;Anatidae;441683;Aythya australis;;Aythya australis (Eyton, 1838)
Anseriformes;Anatidae;432704;Aythya australis australis;Fuligule austral;Aythya australis australis (Eyton, 1838)
Anseriformes;Anatidae;1990;Anas collaris;Fuligule à bec cerclé, Fuligule à collier;Aythya collaris (Donovan, 1809)
Anseriformes;Anatidae;1988;Aythya collaris;Fuligule à bec cerclé, Fuligule à collier;Aythya collaris (Donovan, 1809)
Anseriformes;Anatidae;1994;Anas ferina;Fuligule milouin;Aythya ferina (Linnaeus, 1758)
Anseriformes;Anatidae;1991;Aythya ferina;Fuligule milouin;Aythya ferina (Linnaeus, 1758)
Anseriformes;Anatidae;1993;Nyroca ferina;Fuligule milouin;Aythya ferina (Linnaeus, 1758)
Anseriformes;Anatidae;2000;Anas fuligula;Fuligule morillon;Aythya fuligula (Linnaeus, 1758)
Anseriformes;Anatidae;1998;Aythya fuligula;Fuligule morillon;Aythya fuligula (Linnaeus, 1758)
Anseriformes;Anatidae;2003;Anas marila;Fuligule milouinan;Aythya marila (Linnaeus, 1761)
Anseriformes;Anatidae;2001;Aythya marila;Fuligule milouinan;Aythya marila (Linnaeus, 1761)
Anseriformes;Anatidae;1997;Anas nyroca;Fuligule nyroca;Aythya nyroca (Güldenstädt, 1770)
Anseriformes;Anatidae;1995;Aythya nyroca;Fuligule nyroca;Aythya nyroca (Güldenstädt, 1770)
Anseriformes;Anatidae;416717;Nyroca fuligula;Fuligule nyroca;Aythya nyroca (Güldenstädt, 1770)
Anseriformes;Anatidae;199303;Aythya valisineria;Fuligule à dos blanc;Aythya valisineria (Wilson, 1814)
Anseriformes;Anatidae;2759;Anas bernicla;Bernache cravant;Branta bernicla (Linnaeus, 1758)
Anseriformes;Anatidae;2757;Branta bernicla;Bernache cravant;Branta bernicla (Linnaeus, 1758)
Anseriformes;Anatidae;2760;Branta bernicla bernicla;;Branta bernicla bernicla (Linnaeus, 1758)
Anseriformes;Anatidae;2762;Branta bernicla hrota;Bernache à ventre pâle;Branta bernicla hrota (O.F. Müller, 1776)
Anseriformes;Anatidae;199299;Branta hrota;Bernache à ventre pâle;Branta bernicla hrota (O.F. Müller, 1776)
Anseriformes;Anatidae;2749;Anas canadensis;Bernache du Canada;Branta canadensis (Linnaeus, 1758)
Anseriformes;Anatidae;2747;Branta canadensis;Bernache du Canada;Branta canadensis (Linnaeus, 1758)
Anseriformes;Anatidae;2752;Anas leucopsis;Bernache nonnette;Branta leucopsis (Bechstein, 1803)
Anseriformes;Anatidae;2750;Branta leucopsis;Bernache nonnette;Branta leucopsis (Bechstein, 1803)
